Dialogue_id	Utterance_id	Text	Label	Start_timestamp	End_timestamp	Source	speaker_name
7	7	you are going to find someone so great.	Comfort	00:06:59,452	00:07:01,955	superstore	Glenn
8	1	i like the enthusiasm!	Praise	00:07:25,312	00:07:27,647	superstore	Glenn
8	2	so how's school? what's going on?	Care	00:07:35,755	00:07:38,025	superstore	Amy
8	4	you know what i mean. come on, spill it, girl.	Advise	00:07:41,128	00:07:42,562	superstore	Amy
8	7	excuse me, sir.	Criticize	00:07:50,737	00:07:52,339	superstore	Amy
8	9	who even uses floor cleaner anymore?	Taunt	00:07:57,144	00:07:59,046	superstore	Amy
8	10	what are you, an orderly from the '50s?	Taunt	00:07:59,079	00:08:00,713	superstore	Amy
8	12	wow.	Praise	00:08:06,619	00:08:08,455	superstore	superstore person1
8	13	that was awesome.	Praise	00:08:08,488	00:08:09,589	superstore	superstore person1
8	14	i can be awesome.	Flaunt	00:08:09,622	00:08:12,192	superstore	Amy
10	1	no wonder this country's a garbage fire.	Complain	00:09:17,257	00:09:19,092	superstore	Dina
10	7	well, there you go, champ.	Taunt	00:09:38,911	00:09:40,280	superstore	Dina
10	8	i'm sorry. do you know what a softline is?	Ask for help	00:09:46,153	00:09:48,288	superstore	Kelly
10	9	i don't have time for this.	Leave	00:09:48,321	00:09:50,723	superstore	Garrett
10	10	excuse me.	Greet	00:09:50,757	00:09:52,425	superstore	Kelly
10	11	do you know what a softline is?	Ask for help	00:09:52,459	00:09:54,194	superstore	Kelly
10	12	i don't live here. i'm from tampa.	Leave	00:09:54,227	00:09:56,463	superstore	superstore person4
11	4	oh, uh, no, you're not done.	Inform	00:10:17,184	00:10:19,852	superstore	Amy
11	6	okay. fine.	Agree	00:10:26,359	00:10:28,528	superstore	superstore person1
12	2	and then she's not doing her homework.	Criticize	00:11:10,703	00:11:13,006	superstore	Amy
12	3	and then she's hanging out with the bad kids.	Criticize	00:11:13,040	00:11:15,242	superstore	Amy
12	4	yes. actually, yeah. that would be great.	Agree	00:11:26,086	00:11:29,289	superstore	Amy
13	2	oh.   hey, um, you think i could get that badge for the bathroom again?	Ask for help	00:11:55,815	00:12:01,688	superstore	superstore person2
14	0	i'm sorry about before.	Apologise	00:12:32,119	00:12:33,253	superstore	superstore person3
14	2	okay, let me stop you right there.	Prevent	00:12:36,323	00:12:37,724	superstore	Amy
14	3	i was wrong for yelling at you earlier.	Apologise	00:12:37,757	00:12:39,726	superstore	Amy
14	5	so if you wanted to, like, go over there and really give it to her, that would be fine.	Advise	00:12:46,866	00:12:51,171	superstore	Amy
14	6	obviously, don't hit her, but if you wanted to shake her a little, that would be cool.	Advise	00:12:52,905	00:12:57,377	superstore	Amy
14	7	i'm not gonna shake a little girl.	Oppose	00:12:57,410	00:12:59,112	superstore	superstore person3
16	0	it's a can.	Introduce	00:13:57,604	00:13:59,406	superstore	superstore person1
16	4	n-no, not--no. no!	Oppose	00:14:11,218	00:14:13,553	superstore	Jonah
16	6	you got to put that phone away too.	Arrange	00:14:16,923	00:14:18,225	superstore	Jonah
16	7	you're not my boss.	Oppose	00:14:18,258	00:14:19,559	superstore	superstore person1
16	8	what--what is wrong with you? she's a child!	Criticize	00:14:31,538	00:14:33,973	superstore	Glenn
16	12	not so hot, huh?	Criticize	00:14:47,554	00:14:49,356	superstore	Glenn
17	1	can i ask you something?	Ask for help	00:15:05,805	00:15:07,774	superstore	superstore person2
17	4	you seem like you are way too pretty to be working here.	Praise	00:15:18,551	00:15:21,521	superstore	superstore person2
17	6	you have a nice smile.	Praise	00:15:26,025	00:15:27,927	superstore	superstore person2
17	8	you--you have a nice smile.	Praise	00:15:31,364	00:15:33,700	superstore	Cheyenne
19	0	i, uh--i messed up before. i'm sorry.	Apologise	00:16:59,018	00:17:01,454	superstore	Jonah
19	3	all right. that's enough.	Agree	00:17:23,843	00:17:26,713	superstore	Garrett
19	4	attention, cloud 9 employees!	Inform	00:17:26,746	00:17:28,681	superstore	Garrett
19	5	dina did not break up with me, and actually, if you want to get real about it, it was my idea.	Inform	00:17:30,583	00:17:37,624	superstore	Garrett
19	6	i was trying to be a nice guy.	Inform	00:17:37,657	00:17:39,158	superstore	Garrett
19	9	sorry about that.	Apologise	00:17:53,205	00:17:54,841	superstore	Garrett
19	10	please pretend you didn't hear that.	Advise	00:17:54,874	00:17:56,643	superstore	Garrett
20	1	yeah.	Agree	00:18:08,688	00:18:10,189	superstore	Amy
20	4	i just feel like i'm losing control.	Complain	00:18:45,992	00:18:47,794	superstore	Amy
20	6	sure.	Agree	00:18:52,231	00:18:53,566	superstore	Amy
21	0	when he smiles at you, it feels like the sun is coming up.	Praise	00:19:21,293	00:19:26,032	superstore	Cheyenne
21	2	well, scott is way cuter than jeff.	Praise	00:19:31,270	00:19:32,972	superstore	Cheyenne
21	3	i'm sorry.   love you.	Apologise	00:19:36,075	00:19:38,811	superstore	Nico
22	0	i got carried away, and... it wasn't cool.	Apologise	00:20:00,800	00:20:03,302	superstore	Garrett
22	5	i don't think so. let's do it.	Advise	00:20:24,123	00:20:27,560	superstore	Garrett
22	6	okay.	Agree	00:20:27,594	00:20:30,129	superstore	Dina
22	7	yeah, this isn't working out. i'm dumping you.	Oppose	00:20:30,162	00:20:32,932	superstore	Dina
22	9	attention, cloud 9 employees.	Inform	00:20:38,638	00:20:40,106	superstore	Dina
22	10	we have a nonverbal confirmation i dumped garrett.	Inform	00:20:40,139	00:20:43,676	superstore	Dina
22	11	you're a monster.	Criticize	00:20:43,710	00:20:44,911	superstore	Garrett
24	0	hey!	Greet	00:00:10,077	00:00:11,579	superstore	Jonah
24	2	yeah.	Agree	00:00:18,819	00:00:20,087	superstore	superstore person1
24	3	well, you--put it back.	Arrange	00:00:20,120	00:00:22,656	superstore	Jonah
24	4	uh, i don't think i'm gonna.	Oppose	00:00:22,690	00:00:24,525	superstore	superstore person1
24	8	no, don't just--no. don't take more.	Prevent	00:00:32,900	00:00:35,903	superstore	Jonah
24	11	uh, i-i don't think you do.	Oppose	00:00:41,575	00:00:43,677	superstore	superstore person1
24	13	okay. excuse me.	Leave	00:00:50,651	00:00:53,153	superstore	superstore person1
24	14	oh. wait!	Prevent	00:00:53,186	00:00:54,655	superstore	Jonah
24	15	no, no, no, no! no, he--no.	Prevent	00:00:54,688	00:00:55,956	superstore	Jonah
24	16	jonah, call the police! right.	Arrange	00:01:05,633	00:01:08,101	superstore	Dina
24	17	look who's grounded now.	Taunt	00:01:08,135	00:01:10,738	superstore	Dina
24	18	jonah, i just did a  law & order  type zinger.	Flaunt	00:01:10,771	00:01:14,107	superstore	Dina
25	0	i saw immediately it was a 487 in progress.	Flaunt	00:01:23,717	00:01:26,086	superstore	Dina
25	1	i don't know what he could have done to you beforehand, but it is not your fault if he touched you.	Comfort	00:01:39,032	00:01:42,536	superstore	Dina
25	3	end of story.	Inform	00:01:45,639	00:01:46,874	superstore	Jonah
27	4	uh, no.	Oppose	00:04:55,062	00:04:57,064	superstore	Jeff
28	0	what i'm saying is, don't do what dina did.	Inform	00:05:28,862	00:05:32,532	superstore	Jeff
28	2	just stand there and make brown, like jonah?	Taunt	00:05:58,391	00:06:01,161	superstore	Dina
28	4	exactly. he just sat there and watched a guy rob the store.	Criticize	00:06:04,231	00:06:07,434	superstore	Dina
28	5	thank you. that is what you should all do in the future.	Thank	00:06:07,467	00:06:11,271	superstore	Jeff
28	6	thank you, jonah, for actually following protocol.	Thank	00:06:11,304	00:06:14,808	superstore	Jeff
29	0	oh, yeah. yeah.	Agree	00:07:32,519	00:07:34,187	superstore	superstore person3
29	1	yes, yes. and i'm so sorry.	Apologise	00:07:48,936	00:07:51,404	superstore	superstore person3
29	8	jerusha, how was it? i feel sick!	Complain	00:08:19,599	00:08:23,636	superstore	Glenn
30	1	this little girl won't try and stop you.	Taunt	00:08:31,444	00:08:33,180	superstore	Dina
30	2	i'm just--i'm gonna go pay for it.	Leave	00:08:40,087	00:08:41,955	superstore	superstore person4
31	0	hey.	Greet	00:09:13,020	00:09:15,488	superstore	Amy
31	3	i don't think that's true. well, it is true.	Oppose	00:09:48,188	00:09:50,690	superstore	Kelly
32	2	okay, um, look, maybe i wasn't clear, and that's my fault.	Apologise	00:10:12,612	00:10:17,584	superstore	Glenn
32	6	yes, thanks. yes, yes.	Thank	00:10:38,371	00:10:41,408	superstore	superstore person3
35	1	you're the cool kids.	Praise	00:14:31,704	00:14:33,440	superstore	Amy
35	2	oh, no. none of us get invited to that.	Oppose	00:14:38,678	00:14:41,981	superstore	Sandra
35	3	that thing is lame anyway.	Complain	00:14:42,014	00:14:43,516	superstore	Amy
35	4	hey, what if we did something?	Advise	00:14:43,550	00:14:46,553	superstore	Amy
35	5	yes! all right.	Agree	00:14:52,459	00:14:53,793	superstore	Amy
35	6	let's do it! bowling night!	Advise	00:14:53,826	00:14:56,329	superstore	Amy
35	8	yeah. maybe.	Agree	00:15:01,000	00:15:02,902	superstore	Amy
35	9	wow. yeah.	Agree	00:15:18,518	00:15:20,953	superstore	Amy
35	10	i can't.	Oppose	00:15:32,999	00:15:34,834	superstore	Amy
35	11	um, oh. uh, no.	Oppose	00:15:37,704	00:15:42,141	superstore	Amy
36	0	it's my first write-up. ever.	Flaunt	00:15:48,748	00:15:50,817	superstore	Dina
36	1	so thank you so much for that.	Thank	00:15:50,850	00:15:52,585	superstore	Dina
36	3	i'm glad you got written up. you are a bully.	Criticize	00:16:09,969	00:16:13,005	superstore	Jonah
36	4	well, i'd rather be a bully than a castrated garden gnome.	Taunt	00:16:13,039	00:16:15,908	superstore	Dina
36	5	well, who knows what's under those little pants?	Taunt	00:16:18,745	00:16:19,979	superstore	Dina
36	6	that's not the point. the point is, at least i'm not too weak to stop a simple robbery.	Taunt	00:16:20,012	00:16:24,751	superstore	Dina
36	8	with muscles like those? come on.	Taunt	00:16:28,521	00:16:30,089	superstore	Dina
36	9	your ass? yeah, uh, obviously, i could-sure.	Agree	00:16:37,530	00:16:40,867	superstore	Jonah
36	11	fight, guys. jonah's fighting dina.	Inform	00:16:52,912	00:16:54,547	superstore	Marcus
37	2	because if you were really a feminist, you'd punch me in the face.	Taunt	00:17:28,815	00:17:31,884	superstore	Dina
37	6	just stop. this is crazy.	Prevent	00:17:41,928	00:17:44,764	superstore	Garrett
37	7	are you okay? yeah, yeah, i'm good.	Care	00:18:11,223	00:18:12,925	superstore	Garrett
45	0	yeah, i got to go with the cop on this one.	Agree	00:04:21,511	00:04:23,280	superstore	Jonah
45	3	fine, just don't go touching the body.	Inform	00:04:34,024	00:04:36,326	superstore	Dina
45	5	no, i just wouldn't do that.	Oppose	00:04:39,362	00:04:41,231	superstore	Jonah
45	8	all right, well, that should hold.	Agree	00:04:46,904	00:04:49,239	superstore	Glenn
48	0	like he's a dead employee.	Joke	00:07:34,704	00:07:36,339	superstore	superstore person1
48	1	no.	Oppose	00:07:37,674	00:07:39,142	superstore	Glenn
48	2	this is not a halloween display.	Oppose	00:07:39,176	00:07:41,378	superstore	Glenn
48	6	that was the coroner's office.	Inform	00:07:49,319	00:07:51,021	superstore	Dina
48	9	oh, come on.	Complain	00:07:58,761	00:08:00,097	superstore	Glenn
49	0	oh, thanks.	Thank	00:08:32,162	00:08:34,131	superstore	Kelly
49	3	what do we got here, the lunch police?	Joke	00:08:45,742	00:08:47,477	superstore	Amy
49	4	take me downtown, officer bumblebee.	Joke	00:08:49,179	00:08:50,780	superstore	Amy
49	5	kelly, could you jump on register four?	Arrange	00:08:54,317	00:08:56,419	superstore	Amy
49	8	i guess i can eat this on the way.	Leave	00:09:09,466	00:09:12,102	superstore	Kelly
49	10	uh-oh, phone police.	Joke	00:09:18,508	00:09:20,510	superstore	Amy
49	11	you'll never take me alive.	Leave	00:09:22,345	00:09:24,047	superstore	Amy
50	1	there is something there that is extremely disturbing, and it may frighten you.	Inform	00:09:41,498	00:09:46,769	superstore	Glenn
50	4	please, listen to me.	Inform	00:09:57,280	00:09:59,249	superstore	Glenn
50	5	the housewares section is very, very scary.	Inform	00:09:59,282	00:10:03,086	superstore	Glenn
50	8	no. no, no.	Oppose	00:10:22,439	00:10:24,441	superstore	Jonah
50	9	you--you--you've been warned.	Inform	00:10:24,474	00:10:25,808	superstore	Glenn
52	0	with sal's passport?	Taunt	00:11:16,393	00:11:18,328	superstore	Nico
52	1	i am a master at make-up.	Flaunt	00:11:18,361	00:11:20,230	superstore	Cheyenne
52	2	if i can make elias look like dame edna, i can make you look like sal.	Flaunt	00:11:20,263	00:11:24,467	superstore	Cheyenne
52	6	i think...we should...	Agree	00:11:37,347	00:11:39,482	superstore	Nico
52	8	we agreed on a kitty cat.	Complain	00:11:46,223	00:11:47,524	superstore	superstore person1
53	0	she saw the match before i could get her phone.	Inform	00:12:04,574	00:12:06,876	superstore	Amy
53	1	oh, okay, we need to  freaky friday  this.	Joke	00:12:06,909	00:12:08,611	superstore	Garrett
53	2	you need to find a cursed object, have a whirlwind romance with her, but then learn an important life lesson.	Advise	00:12:08,645	00:12:14,251	superstore	Garrett
53	4	she sent him a wink.	Inform	00:12:19,622	00:12:20,990	superstore	Amy
53	7	yeah, as long as they never run into each other in the store they both work in.	Agree	00:12:52,289	00:12:55,692	superstore	Garrett
56	0	you seem good.	Care	00:15:42,725	00:15:44,727	superstore	Kelly
56	2	no, no listen to your body.	Oppose	00:15:50,467	00:15:51,668	superstore	Kelly
56	3	yeah.	Agree	00:15:51,701	00:15:53,202	superstore	Jonah
56	4	oh, no, no, i'm fine.	Oppose	00:15:54,737	00:15:56,539	superstore	Jonah
56	5	yes.	Agree	00:15:57,840	00:15:59,709	superstore	Kelly
56	6	you are so strong.	Praise	00:15:59,742	00:16:02,445	superstore	Kelly
56	7	and i also think you are so brave.	Praise	00:16:02,479	00:16:05,214	superstore	Kelly
56	8	thank you.	Thank	00:16:05,247	00:16:07,083	superstore	Jonah
57	0	so you'll have to do the make-up yourself for the trip back.	Inform	00:16:07,116	00:16:11,020	superstore	Cheyenne
57	1	or you could just stay like this the whole time.	Advise	00:16:11,053	00:16:13,122	superstore	Cheyenne
57	5	that's stupid.	Taunt	00:16:39,048	00:16:41,584	superstore	superstore person2
58	3	thank you, governor greitens.	Thank	00:16:56,065	00:16:57,767	superstore	Dina
58	6	i guess i could put it on my lawn.	Advise	00:17:02,872	00:17:05,608	superstore	superstore person3
58	8	chuck, what are you doing?	Care	00:17:06,776	00:17:08,110	superstore	superstore person4
60	2	hey, guys.	Greet	00:17:49,952	00:17:51,053	superstore	Amy
60	4	you know what, kelly, i feel like i cut your break short.	Apologise	00:17:52,121	00:17:55,124	superstore	Amy
60	5	this guy's playing mind games with me all day.	Criticize	00:17:58,728	00:18:01,698	superstore	Kelly
60	6	i would never do that.	Oppose	00:18:01,731	00:18:02,999	superstore	Jonah
60	9	i never texted you.	Oppose	00:18:06,035	00:18:08,838	superstore	Jonah
60	10	stop lying!	Prevent	00:18:08,871	00:18:11,741	superstore	Kelly
60	14	and garrett had something to do with it too.	Inform	00:18:22,318	00:18:23,986	superstore	Amy
61	0	uh, you know, it's fine.	Comfort	00:19:07,163	00:19:09,732	superstore	superstore person2
61	3	i'm sorry.	Apologise	00:19:18,775	00:19:20,009	superstore	superstore person2
61	4	oh, god. uh...	Leave	00:19:21,310	00:19:24,747	superstore	superstore person2
62	0	you look adorable.	Praise	00:19:29,118	00:19:31,287	superstore	Cheyenne
62	1	okay, here. take it.	Arrange	00:19:31,320	00:19:33,856	superstore	superstore person2
62	2	destroy it, douse it with holy water, and set it on fire.	Arrange	00:19:33,890	00:19:36,092	superstore	superstore person2
62	4	i'm not going, okay?	Oppose	00:19:37,326	00:19:38,294	superstore	superstore person2
62	5	it's not worth it.	Complain	00:19:38,327	00:19:39,929	superstore	superstore person2
62	6	i don't like what's happening to me.	Complain	00:19:39,962	00:19:41,831	superstore	superstore person2
62	7	i need to wash this all off before it's too late.	Leave	00:19:41,864	00:19:43,766	superstore	superstore person2
65	0	hey. dina, is something wrong?	Care	00:00:06,474	00:00:08,709	superstore	Glenn
65	1	you know the rules. no religious crap in the store.	Criticize	00:00:08,742	00:00:10,678	superstore	Dina
65	3	this is just a winter barn display.	Introduce	00:00:12,813	00:00:16,016	superstore	Glenn
65	4	with a baby jesus and three wise men?	Taunt	00:00:16,049	00:00:17,585	superstore	Dina
65	5	that is a normal barn baby and three men of average intelligence.	Introduce	00:00:17,618	00:00:22,456	superstore	Glenn
65	6	oh, wow. well, i feel foolish.	Taunt	00:00:25,759	00:00:28,696	superstore	Dina
65	7	i can't believe that i thought this guy was a wise man.	Taunt	00:00:30,531	00:00:33,601	superstore	Dina
65	8	you're not that stupid.	Oppose	00:00:36,036	00:00:37,705	superstore	Glenn
65	13	wait, give me that! that's baby jesus!	Prevent	00:01:09,803	00:01:11,839	superstore	Glenn
69	0	oh, great.	Praise	00:04:17,868	00:04:19,570	superstore	Marcus
69	1	narc alert. oh, it's the fun police.	Taunt	00:04:19,603	00:04:21,905	superstore	superstore person1
69	4	yeah, you just always act all lame and stuff.	Criticize	00:04:27,310	00:04:29,513	superstore	Marcus
69	6	that was the tiniest sip i've ever seen.	Taunt	00:04:41,024	00:04:42,793	superstore	superstore person1
69	7	i mean, now you're just stealing my alcohol.	Criticize	00:04:51,134	00:04:54,638	superstore	Marcus
70	0	oh, hey, man. merry christmas.	Greet	00:04:56,006	00:04:59,076	superstore	Garrett
70	1	oh, wow. thank you, garrett.	Thank	00:04:59,109	00:05:01,845	superstore	Jonah
70	8	or you could save some money and just quit it with the harmonica lessons on youtube.	Advise	00:05:35,378	00:05:39,149	superstore	Garrett
70	9	yeah, it would be. mm-hmm. yeah.	Agree	00:05:42,019	00:05:43,921	superstore	Jonah
72	1	oh, you know, i think you're working too hard.	Taunt	00:09:07,457	00:09:08,992	superstore	Garrett
72	2	why don't you just take off your shoes?	Advise	00:09:09,026	00:09:10,794	superstore	Garrett
72	3	there's a dad here with his kid, asking where the store santa is.	Inform	00:09:12,329	00:09:15,432	superstore	Kelly
72	4	tell him to check the drunk tank.	Arrange	00:09:15,465	00:09:17,300	superstore	Garrett
72	6	guys, they drove an hour to get here.	Inform	00:09:26,243	00:09:29,479	superstore	Kelly
73	4	oh, no, no, no. kiss away.	Oppose	00:10:46,924	00:10:48,391	superstore	Glenn
73	6	oh, there won't be a next tour.	Oppose	00:10:53,463	00:10:55,665	superstore	superstore person3
73	9	hey, uh, thank you for your service.	Thank	00:11:21,058	00:11:23,026	superstore	Nico
73	11	there's cocoa in aisle nine.	Inform	00:11:26,363	00:11:27,697	superstore	Glenn
74	0	i mean, it's just-it's messed up.	Complain	00:11:58,361	00:11:59,662	superstore	Amy
74	1	i'm just gonna say it. men are from mars.	Taunt	00:12:01,564	00:12:04,401	superstore	Dina
74	5	yeah. that's exactly what i was thinking.	Agree	00:12:15,545	00:12:17,480	superstore	Amy
74	6	no. no, no, no, no, no, no. you should not go over there.	Prevent	00:12:17,514	00:12:22,185	superstore	Dina
74	7	we should all go over there.	Advise	00:12:22,219	00:12:24,387	superstore	Dina
74	8	yeah, just always assume we're talking about bridgett's house.	Agree	00:12:26,123	00:12:28,758	superstore	Dina
74	10	oh, yeah, i should not be getting behind the wheel of a car right now.	Agree	00:12:36,633	00:12:40,437	superstore	Dina
75	4	oh, my god. this is a mistake.	Complain	00:13:59,216	00:14:01,751	superstore	Amy
75	5	but not today.	Oppose	00:14:04,154	00:14:05,455	superstore	Amy
75	6	oh, no, no, no. today's gonna be a mess.	Oppose	00:14:05,488	00:14:08,158	superstore	Dina
75	7	we got to go. we got to go.	Leave	00:14:09,459	00:14:11,428	superstore	Amy
75	8	oh, my god. my battery's dead.	Complain	00:14:16,199	00:14:17,667	superstore	Amy
77	0	yeah, yeah. fine.	Agree	00:16:51,821	00:16:53,390	superstore	Jonah
77	1	okay, 'cause you look a little bit like a disgruntled keebler elf about to shoot up the tree house.	Joke	00:16:53,423	00:16:58,528	superstore	Kelly
77	2	it's just--it's like he wants to be mad at me, so he just comes up with these little excuses.	Complain	00:16:58,561	00:17:03,433	superstore	Jonah
77	3	you know, like, he'll-he'll take the trash out when it's half full just so he can be like,  there's another thing jonah didn't do.    i only take my trash out when it topples over like a jenga tower.	Complain	00:17:03,466	00:17:12,008	superstore	Jonah
77	4	right? thank you. maybe we should be roommates.	Thank	00:17:12,041	00:17:14,911	superstore	Jonah
79	0	i told you guys. i am a psycho.	Inform	00:19:26,609	00:19:30,146	superstore	Amy
79	1	oh, yeah, you got to let craymie out more often.	Advise	00:19:30,179	00:19:33,450	superstore	Cheyenne
79	2	i'm gonna crash elsewhere tonight, so...	Inform	00:19:39,822	00:19:41,824	superstore	Jonah
79	4	okay, thanks.	Thank	00:19:47,597	00:19:50,467	superstore	Garrett
79	7	okay.	Agree	00:19:56,939	00:19:58,741	superstore	Garrett
79	8	well, i think i finally figured out these christmas lights.	Inform	00:19:58,775	00:20:02,912	superstore	Glenn
79	10	yeah. super lame.	Agree	00:20:28,505	00:20:31,207	superstore	Glenn
81	1	uh, there's been an unfortunate incident we need to discuss.	Inform	00:00:04,572	00:00:08,842	superstore	Jeff
81	5	an electric guitar.	Introduce	00:00:17,418	00:00:18,419	superstore	Jeff
81	6	anyway, roger from the café, as most of you may have heard, has been let go, uh, for releasing a facebook video in which he was behaving in a manner that cloud 9 does not condone.	Inform	00:00:18,452	00:00:27,428	superstore	Jeff
81	7	it's so gross! especially in the kitchen.	Criticize	00:00:39,172	00:00:41,709	superstore	Kelly
81	8	if you think about it, it's not that gross.	Oppose	00:00:41,742	00:00:44,478	superstore	Cheyenne
81	9	fart air has billions of fecal particles in it.	Introduce	00:00:49,583	00:00:51,118	superstore	Dina
81	12	we don't need to do that. that's--i think the lesson here is be careful what you post on social media.	Inform	00:00:57,057	00:01:02,896	superstore	Jeff
81	16	everybody here can self-police.	Inform	00:01:27,455	00:01:28,922	superstore	Jeff
82	0	hey, guys. it's your girl, kelly.	Introduce	00:01:46,974	00:01:48,842	superstore	Kelly
82	2	kelly's instagram videos. they're adorable.	Praise	00:01:52,179	00:01:54,948	superstore	Marcus
82	3	too funny.	Praise	00:01:56,984	00:01:58,852	superstore	Marcus
82	7	it's your girl, kelly.	Introduce	00:02:10,864	00:02:12,265	superstore	Kelly
82	10	i don't understand this.	Ask for help	00:02:24,011	00:02:26,446	superstore	Glenn
83	2	a huge number of these things bounced back, and that makes me worried that it's either russian hackers...	Complain	00:02:44,998	00:02:50,804	superstore	Glenn
83	4	an employee's inventing fake customers.	Criticize	00:02:58,545	00:03:00,513	superstore	Glenn
84	4	oh, martin! uh, yeah.	Agree	00:03:47,494	00:03:49,496	superstore	Nico
84	5	uh, good guy. nice family.	Praise	00:03:51,131	00:03:53,867	superstore	Nico
85	0	i need your help before we have another scandal.	Ask for help	00:04:17,991	00:04:22,095	superstore	Dina
85	3	besides, it'll be fun.	Praise	00:04:36,143	00:04:38,111	superstore	Dina
85	4	couple of gals clickin' and a-clackin' around the net.	Taunt	00:04:38,145	00:04:41,982	superstore	Dina
86	0	hey, guys. it's your girl, kelly.	Introduce	00:04:55,228	00:04:57,264	superstore	Kelly
86	1	well, this one has a really bad wheel.	Complain	00:05:00,433	00:05:03,536	superstore	Kelly
88	1	oh, look! it's a two-for-one sale!	Introduce	00:07:16,669	00:07:20,107	superstore	Amy
88	3	all right, that is bad.	Complain	00:07:26,246	00:07:28,415	superstore	Amy
88	4	can you please not watch me?	Prevent	00:07:30,683	00:07:32,319	superstore	Amy
88	5	it's riveting.	Praise	00:07:32,352	00:07:34,754	superstore	Jonah
88	6	hi! it's cloud 9 amy!	Greet	00:07:37,424	00:07:39,559	superstore	Amy
89	3	oh, hey, glenn!	Greet	00:07:48,335	00:07:49,669	superstore	Nico
89	4	it was really bugging me that martin nestle lied about his email address, so i did some digging and i found his actual email on his company website.	Inform	00:07:49,702	00:07:56,843	superstore	Nico
89	6	there he is. martin nestle, ceo.	Introduce	00:08:11,691	00:08:15,262	superstore	Nico
89	8	hey, let's see if they have a page for buying a boogie board on there, huh?	Advise	00:08:33,946	00:08:37,717	superstore	Garrett
89	10	click on the  about,  where it tells you the story of how the company started.	Advise	00:08:39,486	00:08:44,324	superstore	Garrett
91	1	cool. then i guess we can stop?	Advise	00:09:27,567	00:09:29,902	superstore	Cheyenne
91	4	mm, yeah. i don't think so.	Oppose	00:09:36,743	00:09:40,480	superstore	Dina
93	4	well, turns out her sick mom is also a boob surgeon!	Inform	00:11:07,400	00:11:11,538	superstore	Dina
93	7	she's gonna have back problems. waste of money.	Taunt	00:11:15,375	00:11:17,710	superstore	Cheyenne
95	2	so fun.	Praise	00:12:14,601	00:12:16,603	superstore	Cheyenne
95	5	yeah, definitely.	Agree	00:12:23,610	00:12:24,811	superstore	Dina
95	7	thanks.	Thank	00:12:28,848	00:12:30,016	superstore	Amy
96	1	calm down. it was fine.	Comfort	00:12:40,059	00:12:41,761	superstore	Nico
96	3	mateo, i want to apologize, both for the things that i said about you, and for thinking that you would ever make up a customer.	Apologise	00:12:47,600	00:12:55,708	superstore	Glenn
96	4	well, it's just hard.	Complain	00:12:55,742	00:12:57,810	superstore	Nico
96	8	we'll go up to the beef barn and get a--a table right near the tractor?	Advise	00:13:05,652	00:13:09,622	superstore	Glenn
96	11	maybe stop by a few museums or something on the way.	Advise	00:13:26,105	00:13:29,509	superstore	Jonah
